"V1","V2","V3","V4","V5"
"217","35to44","black","above_poor","brooklyn","Not_disabled"
"218","35to44","black","above_poor","brooklyn","Not_disabled"
"219","35to44","black","above_poor","brooklyn","Not_disabled"
"220","35to44","black","above_poor","brooklyn","Not_disabled"
"221","35to44","black","above_poor","brooklyn","Not_disabled"
"222","35to44","black","above_poor","brooklyn","Not_disabled"
"223","35to44","black","above_poor","brooklyn","Not_disabled"
"224","35to44","black","above_poor","brooklyn","Not_disabled"
"225","35to44","black","above_poor","brooklyn","Not_disabled"
"226","35to44","black","above_poor","brooklyn","Not_disabled"
"227","35to44","black","above_poor","brooklyn","Not_disabled"
"228","35to44","black","above_poor","brooklyn","Not_disabled"
"229","35to44","black","above_poor","brooklyn","Not_disabled"
"230","35to44","black","above_poor","brooklyn","Not_disabled"
"231","35to44","black","above_poor","brooklyn","Not_disabled"
"232","35to44","black","above_poor","brooklyn","Not_disabled"
"233","35to44","black","above_poor","brooklyn","Not_disabled"
"234","35to44","black","above_poor","brooklyn","Not_disabled"
"235","35to44","black","above_poor","brooklyn","Not_disabled"
"236","35to44","black","above_poor","brooklyn","Not_disabled"
"237","35to44","black","above_poor","brooklyn","Not_disabled"
"238","35to44","black","above_poor","brooklyn","Not_disabled"
"239","35to44","black","above_poor","brooklyn","Not_disabled"
"240","35to44","black","above_poor","brooklyn","Not_disabled"
"241","35to44","black","above_poor","brooklyn","Not_disabled"
"242","35to44","black","above_poor","brooklyn","Not_disabled"
"243","35to44","black","above_poor","brooklyn","Not_disabled"
"244","35to44","black","above_poor","brooklyn","Not_disabled"
"245","35to44","black","above_poor","brooklyn","Not_disabled"
"246","35to44","black","above_poor","brooklyn","Not_disabled"
"247","35to44","black","above_poor","brooklyn","Not_disabled"
"248","35to44","black","above_poor","brooklyn","Not_disabled"
"249","35to44","black","above_poor","brooklyn","Not_disabled"
"250","35to44","black","above_poor","brooklyn","Not_disabled"
"251","35to44","black","above_poor","brooklyn","Not_disabled"
"252","35to44","black","above_poor","brooklyn","Not_disabled"
"253","45to64","black","above_poor","brooklyn","Not_disabled"
"254","45to64","black","above_poor","brooklyn","Not_disabled"
"255","45to64","black","above_poor","brooklyn","Not_disabled"
"256","45to64","black","above_poor","brooklyn","Not_disabled"
"257","45to64","black","above_poor","brooklyn","Not_disabled"
"258","45to64","black","above_poor","brooklyn","Not_disabled"
"259","45to64","black","above_poor","brooklyn","Not_disabled"
"260","45to64","black","above_poor","brooklyn","Not_disabled"
"261","45to64","black","above_poor","brooklyn","Not_disabled"
"262","45to64","black","above_poor","brooklyn","Not_disabled"
"263","45to64","black","above_poor","brooklyn","Not_disabled"
"264","45to64","black","above_poor","brooklyn","Not_disabled"
"265","45to64","black","above_poor","brooklyn","Not_disabled"
"266","45to64","black","above_poor","brooklyn","Not_disabled"
"267","45to64","black","above_poor","brooklyn","Not_disabled"
"268","45to64","black","above_poor","brooklyn","Not_disabled"
"269","45to64","black","above_poor","brooklyn","Not_disabled"
"270","45to64","black","above_poor","brooklyn","Not_disabled"
"271","45to64","black","above_poor","bronx","Not_disabled"
"272","45to64","black","above_poor","bronx","Not_disabled"
"273","45to64","black","above_poor","bronx","Not_disabled"
"274","45to64","black","above_poor","bronx","Not_disabled"
"275","45to64","black","above_poor","bronx","Not_disabled"
"276","45to64","black","above_poor","bronx","Not_disabled"
"277","45to64","black","above_poor","bronx","Not_disabled"
"278","45to64","black","above_poor","bronx","Not_disabled"
"279","45to64","black","above_poor","bronx","Not_disabled"
"280","45to64","black","above_poor","bronx","Not_disabled"
"281","45to64","black","above_poor","bronx","Not_disabled"
"282","45to64","black","above_poor","bronx","Not_disabled"
"283","45to64","black","above_poor","bronx","Not_disabled"
"284","45to64","black","above_poor","bronx","Not_disabled"
"285","45to64","black","above_poor","bronx","Not_disabled"
"286","45to64","black","above_poor","bronx","Not_disabled"
"287","45to64","black","above_poor","bronx","Not_disabled"
"288","45to64","black","above_poor","bronx","Not_disabled"
"289","45to64","black","above_poor","bronx","Not_disabled"
"290","45to64","black","above_poor","bronx","Not_disabled"
"291","45to64","Hispanic","above_poor","queens","Not_disabled"
"292","45to64","Hispanic","above_poor","queens","Not_disabled"
"293","45to64","Hispanic","above_poor","queens","Not_disabled"
"294","45to64","Hispanic","above_poor","queens","Not_disabled"
"295","45to64","Hispanic","above_poor","queens","Not_disabled"
"296","45to64","Hispanic","above_poor","queens","Not_disabled"
"297","45to64","Hispanic","above_poor","queens","Not_disabled"
"298","45to64","Hispanic","above_poor","queens","Not_disabled"
"299","45to64","Hispanic","above_poor","queens","Not_disabled"
"300","45to64","Hispanic","above_poor","queens","Not_disabled"
"301","45to64","Hispanic","above_poor","queens","Not_disabled"
"302","45to64","Hispanic","above_poor","queens","Not_disabled"
"303","45to64","Hispanic","above_poor","queens","Not_disabled"
"304","45to64","Hispanic","above_poor","queens","Not_disabled"
"305","45to64","Hispanic","above_poor","queens","Not_disabled"
"306","45to64","Hispanic","above_poor","queens","Not_disabled"
"307","45to64","Hispanic","above_poor","queens","Not_disabled"
"308","45to64","Hispanic","above_poor","queens","Not_disabled"
"309","45to64","Hispanic","above_poor","queens","Not_disabled"
"310","45to64","Hispanic","above_poor","queens","Not_disabled"
"311","45to64","Hispanic","above_poor","queens","Not_disabled"
"312","45to64","Hispanic","above_poor","queens","Not_disabled"
"313","45to64","Hispanic","above_poor","queens","Not_disabled"
"314","45to64","Hispanic","above_poor","queens","Not_disabled"
"315","45to64","Hispanic","above_poor","queens","Not_disabled"
"316","45to64","Hispanic","above_poor","queens","Not_disabled"
"317","45to64","Hispanic","above_poor","queens","Not_disabled"
"318","45to64","Hispanic","above_poor","queens","Not_disabled"
"319","45to64","Hispanic","above_poor","queens","Not_disabled"
"320","45to64","Hispanic","above_poor","queens","Not_disabled"
"321","45to64","Hispanic","above_poor","queens","Not_disabled"
"322","45to64","Hispanic","above_poor","queens","Not_disabled"
"323","45to64","Hispanic","above_poor","queens","Not_disabled"
"324","45to64","Hispanic","above_poor","queens","Not_disabled"
"325","45to64","Hispanic","above_poor","queens","Not_disabled"
"326","45to64","Hispanic","above_poor","queens","Not_disabled"
"327","45to64","Hispanic","above_poor","queens","Not_disabled"
"328","45to64","Hispanic","above_poor","queens","Not_disabled"
"329","45to64","Hispanic","above_poor","queens","Not_disabled"
"330","45to64","Hispanic","above_poor","queens","Not_disabled"
"331","45to64","Hispanic","above_poor","queens","Not_disabled"
"332","45to64","Hispanic","above_poor","queens","Not_disabled"
"333","45to64","Hispanic","above_poor","queens","Not_disabled"
"334","45to64","Hispanic","above_poor","queens","Not_disabled"
"335","45to64","Hispanic","above_poor","queens","Not_disabled"
"336","45to64","Hispanic","above_poor","queens","Not_disabled"
