age,race,income,borough,disability
35to44,black,above_poor,brooklyn,Not_disabled
35to44,black,above_poor,brooklyn,Not_disabled
35to44,black,above_poor,brooklyn,Not_disabled
35to44,black,above_poor,brooklyn,Not_disabled
35to44,black,above_poor,brooklyn,Not_disabled
35to44,black,above_poor,brooklyn,Not_disabled
35to44,black,above_poor,brooklyn,Not_disabled
35to44,black,above_poor,brooklyn,Not_disabled
35to44,black,above_poor,brooklyn,Not_disabled
35to44,black,above_poor,brooklyn,Not_disabled
35to44,black,above_poor,brooklyn,Not_disabled
35to44,black,above_poor,brooklyn,Not_disabled
35to44,black,above_poor,brooklyn,Not_disabled
35to44,black,above_poor,brooklyn,Not_disabled
35to44,black,above_poor,brooklyn,Not_disabled
35to44,black,above_poor,brooklyn,Not_disabled
35to44,black,above_poor,brooklyn,Not_disabled
35to44,black,above_poor,brooklyn,Not_disabled
35to44,black,above_poor,brooklyn,Not_disabled
35to44,black,above_poor,brooklyn,Not_disabled
35to44,black,above_poor,brooklyn,Not_disabled
35to44,black,above_poor,brooklyn,Not_disabled
35to44,black,above_poor,brooklyn,Not_disabled
35to44,black,above_poor,brooklyn,Not_disabled
35to44,black,above_poor,brooklyn,Not_disabled
35to44,black,above_poor,brooklyn,Not_disabled
35to44,black,above_poor,brooklyn,Not_disabled
35to44,black,above_poor,brooklyn,Not_disabled
35to44,black,above_poor,brooklyn,Not_disabled
35to44,black,above_poor,brooklyn,Not_disabled
35to44,black,above_poor,brooklyn,Not_disabled
35to44,black,above_poor,brooklyn,Not_disabled
45to64,black,above_poor,brooklyn,Not_disabled
45to64,black,above_poor,brooklyn,Not_disabled
45to64,black,above_poor,brooklyn,Not_disabled
45to64,black,above_poor,brooklyn,Not_disabled
45to64,black,above_poor,brooklyn,Not_disabled
45to64,black,above_poor,brooklyn,Not_disabled
45to64,black,above_poor,brooklyn,Not_disabled
45to64,black,above_poor,brooklyn,Not_disabled
45to64,black,above_poor,brooklyn,Not_disabled
45to64,black,above_poor,brooklyn,Not_disabled
45to64,black,above_poor,brooklyn,Not_disabled
45to64,black,above_poor,brooklyn,Not_disabled
45to64,black,above_poor,brooklyn,Not_disabled
45to64,black,above_poor,brooklyn,Not_disabled
45to64,black,above_poor,brooklyn,Not_disabled
45to64,black,above_poor,brooklyn,Not_disabled
45to64,black,above_poor,brooklyn,Not_disabled
45to64,black,above_poor,brooklyn,Not_disabled
45to64,black,above_poor,bronx,Not_disabled
45to64,black,above_poor,bronx,Not_disabled
45to64,black,above_poor,bronx,Not_disabled
45to64,black,above_poor,bronx,Not_disabled
45to64,black,above_poor,bronx,Not_disabled
45to64,black,above_poor,bronx,Not_disabled
45to64,black,above_poor,bronx,Not_disabled
45to64,black,above_poor,bronx,Not_disabled
45to64,black,above_poor,bronx,Not_disabled
45to64,black,above_poor,bronx,Not_disabled
45to64,black,above_poor,bronx,Not_disabled
45to64,black,above_poor,bronx,Not_disabled
45to64,black,above_poor,bronx,Not_disabled
45to64,black,above_poor,bronx,Not_disabled
